Name,Symbol,2013 Open,2018 Close
Caterpillar Inc.,CAT,92.92094511517078,92.9396266878475
Cboe Global Markets,CBOE,66.08226767275616,66.13187688641779
CBRE Group,CBRE,,
CBS Corp.,CBS,56.23072287529786,56.21647339158063
Celgene Corp.,CELG,101.31691620333599,101.31071532962667
Centene Corporation,CNC,56.29774622716441,56.32398729150119
CenterPoint Energy,CNP,23.540849880857824,23.549527402700555
CenturyLink Inc,CTL,30.086886338363787,30.06823272438443
Cerner,CERN,59.09625496425735,59.11763542494043
CF Industries Holdings Inc,CF,41.48626417791898,41.47941064336775
Charles Schwab Corporation,SCHW,30.972843208895945,30.98892772041303
Charter Communications,CHTR,207.9895353455123,208.0883891183479
Chevron Corp.,CVX,109.95906584590944,109.96900000000002
Chipotle Mexican Grill,CMG,493.33199761715656,493.2560079428118
